qid,question,mean,median,std,pct_5,pct_4_5,pct_1_2,n0
Q53,Chciał(a)bym więcej pracy praktycznej / kodowania / analizy danych,3.96,4.0,0.7895146188218007,28.000000000000004,68.0,0.0,0
Q54,"Jak Pani/Panu odpowiada forma wczorajszych  zajęć - początkowe wprowadzenie, potem praca samodzielna (5 - bardzo odpowiada, 1 - nie odpowiada, 0 - nie było mnie )? ",4.5,5.0,0.659380473395787,56.00000000000001,88.0,0.0,1
Q55,"Jak dużo zrozumiał(a) Pan(i) z wczorajszych zajęć - subiektwynie  (0 - nie było mnie, 1 - nic, 5 - wszystko) ?",4.166666666666667,4.0,0.7613869876268811,32.0,84.0,4.0,1
Q56,"Jak Pani/Panu odpowiada forma dzisiejszych zajęć - forma pracy hands-on, czyli mocna granulacja zadań z samodzielnym powtarzaniem (5 - bardzo odpowiada, 1 - nie odpowiada, 0 - nie było mnie)?",4.083333333333333,4.0,0.9743076322798876,36.0,80.0,12.0,1
Q57,"Jak dużo zrozumiał(a) Pan(i) z dzisiejszych zajęć, znowu subiektywnie ;) (0 - nie było mnie, 1 - nic, 5 - wszystko) ?",4.083333333333333,4.0,0.928611242975073,40.0,68.0,4.0,1
Q58,"Preferuję zajęcia z samym podawaniem wiedzy np. poprzez slajdy, od takich w których się aktywnie uczestniczy",2.92,3.0,1.2884098726725126,12.0,36.0,40.0,0
Q59,"Potrzebuję ścieżki wyrównawczej / dodatkowych zadań podstawowych (np. drzewa, traversal, sortowanie, wyszukiwanie) ",1.92,2.0,0.9966610925150702,0.0,8.0,72.0,0
Q60,Był(a)bym zainteresowany(a) ścieżką advanced / samodzielnie wymyślonym projektem,2.88,3.0,1.3012814197295424,16.0,28.000000000000004,40.0,0
Q61,Chciał(a)bym regularnych krótkich konsultacji / checkpointów do projektów,2.64,3.0,0.8103497187428812,0.0,8.0,32.0,0
Q62,Stresuje mnie matematyka / statystyka w kontekście tego kursu.,2.08,2.0,0.9539392014169455,0.0,8.0,68.0,0
Q63,Wolę pracować indywidualnie,4.0,5.0,1.2909944487358056,52.0,68.0,12.0,0
Q64,Wolę pracować w parze lub małej grupie,2.52,2.0,1.3880441875771343,12.0,24.0,52.0,0
