qnum,question,section,mean,median,std,pct_5,pct_4_5,pct_1_2,n_zero,n_valid
28,Rozumiem różnicę między funkcją liniową i kwadratową a wielomianami wyższych stopni,Matematyka i statystyka,4.36,5.0,0.99498743710662,60.0,84.0,4.0,0,25
29,"Potrafię policzyć proste pochodne, np. x, x^2, (x-1)^3",Matematyka i statystyka,4.44,5.0,0.7118052168020874,56.00000000000001,88.0,0.0,0,25
30,Rozumiem intuicję pochodnej jako miary zmiany,Matematyka i statystyka,4.08,4.0,1.0376254944182253,48.0,68.0,8.0,0,25
31,"Rozumiem wektory i macierze
",Matematyka i statystyka,4.16,4.0,0.8981462390204987,44.0,76.0,4.0,0,25
32,"Rozumiem, czym jest funkcja straty i dlaczego model ją minimalizuje.",ML podstawy + sprawność algorytmiczna,2.96,3.0,1.4854853303438127,20.0,40.0,40.0,0,25
33,Rozumiem różnicę między uczeniem nadzorowanym i nienadzorowanym,ML podstawy + sprawność algorytmiczna,3.24,4.0,1.4798648586948742,20.0,56.00000000000001,28.000000000000004,0,25
34,Rozumiem pojęcia feature (cecha) / target / etykieta,ML podstawy + sprawność algorytmiczna,3.0,3.0,1.4433756729740645,24.0,32.0,36.0,0,25
35,"Rozumiem, po co dzielimy dane na train / validation / test",ML podstawy + sprawność algorytmiczna,3.52,4.0,1.4753530650887152,36.0,60.0,32.0,0,25
36,"Rozumiem, czym jest overfitting i underfitting",ML podstawy + sprawność algorytmiczna,3.44,4.0,1.6093476939431082,36.0,60.0,28.000000000000004,0,25
37,"Rozumiem, czym jest data leakage",ML podstawy + sprawność algorytmiczna,2.52,3.0,1.1944315244779278,8.0,16.0,48.0,0,25
38,Rozumiem różnicę między zadaniem regresji a klasyfikacji,ML podstawy + sprawność algorytmiczna,3.24,3.0,1.6401219466856725,36.0,48.0,36.0,0,25
39,"Rozumiem, że dobór metryki zależy od problemu",ML podstawy + sprawność algorytmiczna,3.52,4.0,1.3266499161421599,32.0,52.0,24.0,0,25
40,Mam intuicję działania modeli drzewiastych (np. decision tree / random forest),ML podstawy + sprawność algorytmiczna,2.96,3.0,1.3686976778431872,20.0,32.0,40.0,0,25
41,Potrafię korzystać z Breadth First Search (BFS) i/lub Depth First Search (DFS),ML podstawy + sprawność algorytmiczna,3.64,4.0,1.186029791643813,28.000000000000004,60.0,20.0,0,25
42,Potrafię korzystać z merge- i quicksort,ML podstawy + sprawność algorytmiczna,3.92,4.0,0.9092121131323904,32.0,64.0,4.0,0,25
43,Potrafię pracować z nie do końca doprecyzowanym problemem.,"Praca, preferencje i feedback",3.76,4.0,1.1284207253207172,32.0,64.0,20.0,0,25
44,Potrafię zaplanować pracę nad zadaniem rozłożonym na kilka dni / tygodni,"Praca, preferencje i feedback",4.2,4.0,0.7637626158259734,40.0,80.0,0.0,0,25
45,Potrafię czytać anglojęzyczną dokumentację techniczną,"Praca, preferencje i feedback",4.72,5.0,0.45825756949558394,72.0,100.0,0.0,0,25
46,"Czuję się komfortowo, prezentując wynik swojej pracy","Praca, preferencje i feedback",3.84,4.0,1.0279429296739517,24.0,76.0,12.0,0,25
47,Potrafię współpracować z innymi nad wspólnym zadaniem,"Praca, preferencje i feedback",4.2,4.0,0.9128709291752769,48.0,76.0,4.0,0,25
48,Zależy mi na realnym nauczeniu się materiału,"Praca, preferencje i feedback",4.36,5.0,0.8103497187428812,52.0,88.0,4.0,0,25
49,Zależy mi przede wszystkim na sprawnym zaliczeniu kursu,"Praca, preferencje i feedback",4.12,4.0,0.9273618495495703,44.0,72.0,4.0,0,25
50,Preferuję zaliczenie w formie pisemnej,"Praca, preferencje i feedback",1.6,1.0,1.0408329997330663,4.0,8.0,88.0,0,25
51,Preferuję zaliczenie w formie 2–3 projektów,"Praca, preferencje i feedback",4.68,5.0,0.6904105059069326,76.0,96.0,4.0,0,25
52,Chciał(a)bym więcej teorii i wyjaśnień na wykładzie,"Praca, preferencje i feedback",3.4,3.0,0.8660254037844387,16.0,32.0,8.0,0,25
53,Chciał(a)bym więcej pracy praktycznej / kodowania / analizy danych,"Praca, preferencje i feedback",3.96,4.0,0.7895146188218007,28.000000000000004,68.0,0.0,0,25
54,"Jak Pani/Panu odpowiada forma wczorajszych  zajęć - początkowe wprowadzenie, potem praca samodzielna (5 - bardzo odpowiada, 1 - nie odpowiada, 0 - nie było mnie )? ","Praca, preferencje i feedback",4.5,5.0,0.659380473395787,56.00000000000001,88.0,0.0,1,24
55,"Jak dużo zrozumiał(a) Pan(i) z wczorajszych zajęć - subiektwynie  (0 - nie było mnie, 1 - nic, 5 - wszystko) ?","Praca, preferencje i feedback",4.166666666666667,4.0,0.7613869876268811,32.0,84.0,4.0,1,24
56,"Jak Pani/Panu odpowiada forma dzisiejszych zajęć - forma pracy hands-on, czyli mocna granulacja zadań z samodzielnym powtarzaniem (5 - bardzo odpowiada, 1 - nie odpowiada, 0 - nie było mnie)?","Praca, preferencje i feedback",4.083333333333333,4.0,0.9743076322798876,36.0,80.0,12.0,1,24
57,"Jak dużo zrozumiał(a) Pan(i) z dzisiejszych zajęć, znowu subiektywnie ;) (0 - nie było mnie, 1 - nic, 5 - wszystko) ?","Praca, preferencje i feedback",4.083333333333333,4.0,0.928611242975073,40.0,68.0,4.0,1,24
58,"Preferuję zajęcia z samym podawaniem wiedzy np. poprzez slajdy, od takich w których się aktywnie uczestniczy","Praca, preferencje i feedback",2.92,3.0,1.2884098726725126,12.0,36.0,40.0,0,25
59,"Potrzebuję ścieżki wyrównawczej / dodatkowych zadań podstawowych (np. drzewa, traversal, sortowanie, wyszukiwanie) ","Praca, preferencje i feedback",1.92,2.0,0.9966610925150702,0.0,8.0,72.0,0,25
60,Był(a)bym zainteresowany(a) ścieżką advanced / samodzielnie wymyślonym projektem,"Praca, preferencje i feedback",2.88,3.0,1.3012814197295424,16.0,28.000000000000004,40.0,0,25
61,Chciał(a)bym regularnych krótkich konsultacji / checkpointów do projektów,"Praca, preferencje i feedback",2.64,3.0,0.8103497187428812,0.0,8.0,32.0,0,25
62,Stresuje mnie matematyka / statystyka w kontekście tego kursu.,"Praca, preferencje i feedback",2.08,2.0,0.9539392014169455,0.0,8.0,68.0,0,25
63,Wolę pracować indywidualnie,"Praca, preferencje i feedback",4.0,5.0,1.2909944487358056,52.0,68.0,12.0,0,25
64,Wolę pracować w parze lub małej grupie,"Praca, preferencje i feedback",2.52,2.0,1.3880441875771343,12.0,24.0,52.0,0,25
