qnum,question,section
38,Rozumiem różnicę między zadaniem regresji a klasyfikacji,ML podstawy + sprawność algorytmiczna
39,"Rozumiem, że dobór metryki zależy od problemu",ML podstawy + sprawność algorytmiczna
40,Mam intuicję działania modeli drzewiastych (np. decision tree / random forest),ML podstawy + sprawność algorytmiczna
41,Potrafię korzystać z Breadth First Search (BFS) i/lub Depth First Search (DFS),ML podstawy + sprawność algorytmiczna
42,Potrafię korzystać z merge- i quicksort,ML podstawy + sprawność algorytmiczna
43,Potrafię pracować z nie do końca doprecyzowanym problemem.,"Praca, preferencje i feedback"
44,Potrafię zaplanować pracę nad zadaniem rozłożonym na kilka dni / tygodni,"Praca, preferencje i feedback"
45,Potrafię czytać anglojęzyczną dokumentację techniczną,"Praca, preferencje i feedback"
46,"Czuję się komfortowo, prezentując wynik swojej pracy","Praca, preferencje i feedback"
47,Potrafię współpracować z innymi nad wspólnym zadaniem,"Praca, preferencje i feedback"
48,Zależy mi na realnym nauczeniu się materiału,"Praca, preferencje i feedback"
49,Zależy mi przede wszystkim na sprawnym zaliczeniu kursu,"Praca, preferencje i feedback"
50,Preferuję zaliczenie w formie pisemnej,"Praca, preferencje i feedback"
51,Preferuję zaliczenie w formie 2–3 projektów,"Praca, preferencje i feedback"
52,Chciał(a)bym więcej teorii i wyjaśnień na wykładzie,"Praca, preferencje i feedback"
53,Chciał(a)bym więcej pracy praktycznej / kodowania / analizy danych,"Praca, preferencje i feedback"
54,"Jak Pani/Panu odpowiada forma wczorajszych  zajęć - początkowe wprowadzenie, potem praca samodzielna (5 - bardzo odpowiada, 1 - nie odpowiada, 0 - nie było mnie )? ","Praca, preferencje i feedback"
55,"Jak dużo zrozumiał(a) Pan(i) z wczorajszych zajęć - subiektwynie  (0 - nie było mnie, 1 - nic, 5 - wszystko) ?","Praca, preferencje i feedback"
56,"Jak Pani/Panu odpowiada forma dzisiejszych zajęć - forma pracy hands-on, czyli mocna granulacja zadań z samodzielnym powtarzaniem (5 - bardzo odpowiada, 1 - nie odpowiada, 0 - nie było mnie)?","Praca, preferencje i feedback"
57,"Jak dużo zrozumiał(a) Pan(i) z dzisiejszych zajęć, znowu subiektywnie ;) (0 - nie było mnie, 1 - nic, 5 - wszystko) ?","Praca, preferencje i feedback"
58,"Preferuję zajęcia z samym podawaniem wiedzy np. poprzez slajdy, od takich w których się aktywnie uczestniczy","Praca, preferencje i feedback"
59,"Potrzebuję ścieżki wyrównawczej / dodatkowych zadań podstawowych (np. drzewa, traversal, sortowanie, wyszukiwanie) ","Praca, preferencje i feedback"
60,Był(a)bym zainteresowany(a) ścieżką advanced / samodzielnie wymyślonym projektem,"Praca, preferencje i feedback"
61,Chciał(a)bym regularnych krótkich konsultacji / checkpointów do projektów,"Praca, preferencje i feedback"
62,Stresuje mnie matematyka / statystyka w kontekście tego kursu.,"Praca, preferencje i feedback"
63,Wolę pracować indywidualnie,"Praca, preferencje i feedback"
64,Wolę pracować w parze lub małej grupie,"Praca, preferencje i feedback"
